Questions,Option_1,Option_2,Option_3,Option_4,Answer,Explaination,Subject,Series
_________ is defined as the percentage of correct predictions out of all the observations.,Precision,Accuracy,Recall,F1,Accuracy,"For the AI concept “is defined as the percentage of correct”, the correct choice is Accuracy.",Artificial Intelligence,EFGH/S
__________ is the best example of Robotics and AI (Artificial Intelligence) working together.,Telephones,Self-driving cars,Bulb,Printing Machine,Self-driving cars,"For the AI concept “is the best example of Robotics and”, the correct choice is Self-driving cars.",Artificial Intelligence,EFGH/S
"Mani has her final exam coming up. She creates a study schedule and sticks to it, balancing her study time with short breaks. Which self-management skill is she demonstrating?",Emotional Intelligence,Managing Emotions,Stress management,Time management,Time management,"For the AI concept “Mani has her final exam coming up”, the correct choice is Time management.",Artificial Intelligence,EFGH/S
___________ enables computers to mimic human intelligence.,Cloud Computing,Artificial Intelligence,Web Development,Data Entry,Artificial Intelligence,"For the AI concept “enables computers to mimic human intelligence”, the correct choice is Artificial Intelligence.",Artificial Intelligence,EFGH/S
Which of the following is the second stage of an AI Project Cycle?,Problem Scoping,Evaluation,Data Acquisition,Data Exploration,Data Acquisition,"For the AI concept “Which of the following is the second”, the correct choice is Data Acquisition.",Artificial Intelligence,EFGH/S
What does the abbreviation “SMART” commonly stand for in the context of goal-setting?,"Superior, Motivated, Analytical, Resourceful, Timely","Specific, Measurable, Achievable, Realistic, Time-bound","Speedy, Manageable, Accurate, Realistic, Tangible","Successful, Methodical, Adaptable, Reliable, Thorough","Specific, Measurable, Achievable, Realistic, Time-bound","For the AI concept “What does the abbreviation SMART commonly stand”, the correct choice is Specific, Measurable, Achievable, Realistic, Time-bound.",Artificial Intelligence,EFGH/S
"For Data Science, data is typically collected in tabular form and stored in various formats. Which of the following is commonly used for storing such tabular data sets?",SQL databases,HTML files,JSON,NumPy,SQL databases,"For the AI concept “For Data Science data is typically collected”, the correct choice is SQL databases.",Artificial Intelligence,EFGH/S
Kinesthetic Intelligence,Is the ability that is related to how a person uses his limbs in a skilled manner.,reasoning.,"Describes the level of self-awareness someone has, starting from realising weaknesses, strengths, to recognising their own feelings.",The ability to perceive the visual world and the relationship of one object to another.,Is the ability that is related to how a person uses his limbs in a skilled manner.,"For the AI concept “Kinesthetic Intelligence”, the correct choice is Is the ability that is related to how a person uses his limbs in a skilled manner..",Artificial Intelligence,EFGH/S
"She reads the book, which of the following is a stop-word that should be removed during text preprocessing?",She,reads,the,book,the,"For the AI concept “She reads the book which of the”, the correct choice is the.",Artificial Intelligence,EFGH/S
Which of the following words represents an example of stemming for “Sharing”?,Share,Shared,Shares,Shar,Shar,"For the AI concept “Which of the following words represents an”, the correct choice is Shar.",Artificial Intelligence,EFGH/S
Which AI application involves analysing large sets of data to extract meaningful insights for decision-making?,Computer Vision,Robotics,Natural Language Processing (NLP),Data Science,Data Science,"For the AI concept “Which AI application involves analysing large sets”, the correct choice is Data Science.",Artificial Intelligence,EFGH/S
Which computer vision task involves both identifying what object is present in an image and determining the precise location of that object within the image?,Image Classification,Object Detection,Instance Segmentation,Classification + Localisation,Classification + Localisation,"For the AI concept “Which computer vision task involves both identifying”, the correct choice is Classification + Localisation.",Artificial Intelligence,EFGH/S
Which file extension is commonly used for image files?,.txt,.exe,.jpg,.mp3,.jpg,"For the AI concept “Which file extension is commonly used for”, the correct choice is .jpg.",Artificial Intelligence,EFGH/S
Which of the following is a common misconception about entrepreneurship?,Entrepreneurs are not always successful on their first attempt.,Its not required to have extensive industry experience to become entrepreneurs.,Starting a business requires a large amount of initial capital.,Entrepreneurs may need to collaborate with others.,Starting a business requires a large amount of initial capital.,"For the AI concept “Which of the following is a common”, the correct choice is Starting a business requires a large amount of initial capital..",Artificial Intelligence,EFGH/S
Which of the following is an example of verbal communication?,Gestures,Facial expressions,Written letters,Posture,Written letters,"For the AI concept “Which of the following is an example”, the correct choice is Written letters.",Artificial Intelligence,EFGH/S
"A corpus contains 4 documents in which the words such as ‘an, is, the’ were appearing frequently. Identify the term that is used for such words.",Stop word,Rare word,Missing word,Removable word,Stop word,"For the AI concept “A corpus contains 4 documents in which”, the correct choice is Stop word.",Artificial Intelligence,GE1FH
"In Computer Vision, which of the following tasks is used for single object?",Object Detection,Classification + Localization,Instance Segmentation,Non - Localization,Classification + Localization,"For the AI concept “In Computer Vision which of the following”, the correct choice is Classification + Localization.",Artificial Intelligence,GE1FH
"Platforms such as Spotify, Facebook, Instagram, Amazon, Netflix etc. shows recommendation on the basis of what you like. Which is the technology behind this?",Human Intelligence,Platform Intelligence,Artificial Intelligence,Application Intelligence,Artificial Intelligence,"For the AI concept “Platforms such as Spotify Facebook Instagram Amazon”, the correct choice is Artificial Intelligence.",Artificial Intelligence,GE1FH
"Reema has started her own restaurant. She keeps on trying new ideas to make different dishes for her customers. As an entrepreneur, Reema is",Impatient,Creative,Under - confident,Lazy,Creative,"For the AI concept “Reema has started her own restaurant She”, the correct choice is Creative.",Artificial Intelligence,GE1FH
Spam refers to,Unnecessary images,Temporary files,Junk mails,Music files,Junk mails,"For the AI concept “Spam refers to”, the correct choice is Junk mails.",Artificial Intelligence,GE1FH
